"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"1 THE LINKS, TULLOW, CARLOW","R93","19/11/2010","190000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"1 WOLSELEY COURT, TULLOW, CARLOW","R93","19/11/2010","200000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"53 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","19/11/2010","92511.01","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"58 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","19/11/2010","157709.25","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"55 BROWNESHILL WOOD, CARLOW, CARLOW","R93","17/11/2010","131277.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"BALLINASILLOGUE, BORRIS, CARLOW","NA","17/11/2010","200000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"112 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","12/11/2010","157709.25","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"27 BARROWVALE, GRAIGUECULLEN, CARLOW","R93","12/11/2010","195000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"51 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","12/11/2010","131277.53","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"52 BROWNSHILL WOOD, BROWNSHILL, CARLOW","R93","12/11/2010","131277.53","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"57 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","12/11/2010","157709.25","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"6 REID AVENUE, THE VILLAGE, GRANGE, CARLOW","NA","12/11/2010","120000.00","TRUE","FALSE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"113 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","11/11/2010","140088.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"31 LAKESIDE, CASTLEOAKS, DUBLIN ROAD","NA","11/11/2010","198238.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"26 FELTHAM HALL, BLACKBOG ROAD, CARLOW, CARLOW","R93","10/11/2010","195000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"48 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","10/11/2010","131276.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"48 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","10/11/2010","131278.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"54 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","10/11/2010","92511.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"BENNEKERRY, CARLOW, CARLOW","R93","10/11/2010","215000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"45 FRIARS GREEN, TULLOW ROAD, CARLOW, CARLOW","R93","05/11/2010","50000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"TUKE COTTAGE, CARRICKDUFF, BUNCLODY, CARLOW","Y21","05/11/2010","250000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"11 LAUREL PARK, POLLERTON, CARLOW","R93","04/11/2010","170000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"47 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","04/11/2010","140088.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"99 THE VALE, GRAIGUECULLEN, CARLOW","R93","04/11/2010","210000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"ACLARE HOUSE, ACLARE, MYSHALL, CARLOW","R21","04/11/2010","260000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"42 SANDHILLS, HACKETSTOWN ROAD, CARLOW","R93","03/11/2010","113656.39","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"NO. 3 THE RISE, TULLOW, CARLOW","R93","02/11/2010","176500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"SLYGUFF, BAGENALSTOWN, CARLOW","R21","01/11/2010","168000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"59 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","R93","29/10/2010","140088.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"43 SANDHILLS, HACKETSTOWN ROAD, CARLOW, CARLOW","R93","26/10/2010","113656.38","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"2 MAPLE ROAD, RIVERCOURT  O' BRIEN ROAD, CARLOW, CARLOW","NA","22/10/2010","132158.58","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"46 ST FIACC'S TERRACE, GRAIGUECULLEN, CARLOW","R93","22/10/2010","60000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BALLINMURPHY ROAD, TULLOW, CARLOW","NA","22/10/2010","285000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"DERRYMOYLE, PORTLAOISE ROAD, CARLOW","NA","22/10/2010","295000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"3 CHURCH ROAD, BAGENALSTOWN, CARLOW","R21","21/10/2010","100000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"3 MAPLE ROAD, RIVERCOURT, CARLOW TOWN, CARLOW","R93","20/10/2010","158000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"6 FRIARS LOUGH, LEIGHLINBRIDGE, CARLOW","R93","20/10/2010","207048.45","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"87 BARROWVALE, PORTLAOISE RD, GRAIGUECULLEN, CARLOW","NA","18/10/2010","150000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"26 CLAYTON COURT, ASKEA, CARLOW, CARLOW","NA","14/10/2010","67500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
