"Date","Price","Url","Address","County"
"12/09/2016","122,500.00 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-C3BAE6A762F9DF67802580350047737F?OpenDocument","1 WEAVERS COTTAGE, CLONEGAL, CO. CARLOW","Carlow"
"12/09/2016","93,000.00 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-5181DD4D08D236E58025803500477378?OpenDocument","4 CRAIGOWAN, TULLOW, CO CARLOW","Carlow"
"12/09/2016","460,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-573AB82C0ACE725E8025804A00477ABC?OpenDocument","5 MAPLE COURT, MORTARSTOWN, CARLOW","Carlow"
"12/09/2016","162,462.56 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-BFAF5C51C934E3FA80258035004777A1?OpenDocument","77 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","Carlow"
"12/09/2016","162,462.56 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-19FBCE077682780380258035004777B3?OpenDocument","78 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW","Carlow"
"09/09/2016","136,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-43490B336A2BD8AE8025802E0047753D?OpenDocument","12 MILLRACE, BURRIN RD, CARLOW","Carlow"
"09/09/2016","50,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-16D505A94B537F5B802580430047802C?OpenDocument","28 CARRAIG ABHAIN, MORTARSTOWN ROAD, CARLOW","Carlow"
"06/09/2016","80,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-B3ABB9DEAA550E068025803C004779B4?OpenDocument","1 BLACK STARIS VIEW, KNOCKMULLGURY, BALLYMURPHY","Carlow"
"05/09/2016","92,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-BDA21FBFF90511DE8025802E00477287?OpenDocument","1 STATION VIEW, THE GREEN, HACKETSTOWN","Carlow"
"05/09/2016","78,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-E588141B28C052118025804A0047768C?OpenDocument","6 THE TERRACE, TYCNOCK, KILTEGAN","Carlow"
"02/09/2016","80,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-D496E8547A552F558025803C004779AE?OpenDocument","1 BLACK STARIS VIEW, KNOCKMULLGURY, BALLYMURPHY","Carlow"
"01/09/2016","175,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-60FB4D92703275608025802E0047744A?OpenDocument","48 SYCAMORE RD, CARLOW, CARLOW","Carlow"
"01/09/2016","117,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-1ABA655BE60A02798025802E0047743F?OpenDocument","5 KERNANSTOWN TERRACE, BENNEKERRY, CARLOW","Carlow"
"01/09/2016","80,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-DE758BB26235543B8025802E00477446?OpenDocument","5 LITTLE BARRACK ST, BARRACK ST, CARLOW","Carlow"
"01/09/2016","250,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-485C210120574FD780258027004776A1?OpenDocument","KERNSTOWN, POLLERTON BIG, CARLOW","Carlow"
"31/08/2016","192,700.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-1A7ACAC841A40353802580270047760C?OpenDocument","11 COLLEGE GARDENS, GRANBY ROW, CARLOW","Carlow"
